Price,Boat Type,Type,Material,Location,Number of views last 7 days,Year Built,Width,Length,Manufacturer,Currency,is European
3337.0,Motor Yacht,new boat from stock,GRP,Switzerland,226,2017,1.9,4.0,Rigiflex power boats,CHF,Not European
3490.0,Center console boat,new boat from stock,Thermoplastic,Germany,75,2020,1.5,4.0,Terhi power boats,EUR,European
25900.0,Sport Boat,new boat from stock,GRP,Denmark,58,2019,1.46,3.55,Linder power boats,DKK,European
3399.0,Fishing Boat,new boat from stock,Aluminium,Germany,45,2019,1.37,3.64,Crescent power boats,EUR,European
3600.0,Catamaran,"Used boat,Unleaded",Aluminium,Switzerland,239,1987,1.75,4.35,Terhi power boats,CHF,Not European
3333.0,Fishing Boat,new boat from stock,GRP,Germany,113,2020,1.65,4.4,Kimple power boats,EUR,European
3300.0,Pontoon Boat,new boat from stock,GRP,Italy,413,1997,1.33,3.72,Italmarine power boats,EUR,European
3500.0,Fishing Boat,"Used boat,Electric",GRP,Switzerland,265,1981,2.84,8.0,BÃ©nÃ©teau power boats,CHF,Not European
3500.0,Sport Boat,Used boat,GRP,Italy,90,2020,1.64,4.31,Linder power boats,EUR,European
4600.0,Runabout,new boat from stock,Aluminium,Switzerland,98,1979,2.1,5.6,Kammin power boats,CHF,Not European
4500.0,Fishing Boat,"Used boat,Unleaded",Aluminium,Switzerland,160,1998,1.55,5.7,Bucher power boats,CHF,Not European
30000.0,Sport Boat,Used boat,GRP,Denmark,202,1996,1.58,4.84,MÃ¤ndli power boats,DKK,European
4000.0,Pilothouse,"Used boat,Diesel",PVC,France,255,1996,1.71,4.41,Quicksilver (Brunswick Marine) power boats,EUR,European
4000.0,Cabin Boat,"Used boat,Unleaded",GRP,Germany,1804,1980,2.45,6.2,Draco power boats,EUR,European
3999.0,Fishing Boat,new boat from stock,Aluminium,Germany,849,1974,1.67,5.4,Hensa  power boats,EUR,European
3930.0,Sport Boat,"new boat from stock,Unleaded",Aluminium,Germany,98,1991,1.62,4.0,Rio power boats,EUR,European
3900.0,Sport Boat,"Used boat,Unleaded",GRP,Germany,393,1992,1.74,4.36,Jouandoudet power boats,EUR,European
3900.0,Cabin Boat,Used boat,GRP,France,54,2019,1.49,3.88,Buster power boats,EUR,European
4200.0,Fishing Boat,"Used boat,Unleaded",GRP,Switzerland,186,2018,2.2,5.2,Corsiva power boats,CHF,Not European
4030.0,Fishing Boat,new boat from stock,Aluminium,Switzerland,74,1961,2.06,5.5,Ilver power boats,CHF,Not European
4000.0,Fishing Boat,"Used boat,Unleaded",GRP,Switzerland,543,1980,2.23,5.85,Skibsplast power boats,CHF,Not European
3975.0,Fishing Boat,new boat from stock,Thermoplastic,Switzerland,57,2018,1.75,4.3,Allegra power boats,CHF,Not European
3950.0,Sport Boat,Used boat,GRP,Switzerland,67,2018,1.64,4.01,Linder power boats,CHF,Not European
3900.0,Sport Boat,"Used boat,Unleaded",GRP,Switzerland,141,2020,1.85,4.2,Viking power boats,CHF,Not European
3800.0,Fishing Boat,"Used boat,Unleaded",Aluminium,Switzerland,1201,1987,1.55,3.95,Fiberline power boats,CHF,Not European
3800.0,Cabin Boat,"Used boat,Unleaded",GRP,Switzerland,204,2007,2.0,5.0,Uttern power boats,CHF,Not European
3800.0,Fishing Boat,"Used boat,Unleaded",Plastic,Switzerland,277,1972,1.9,5.5,Schweizer power boats,CHF,Not European
3500.0,Center console boat,"Used boat,Unleaded",GRP,Germany,122,2018,2.2,5.7,Corsiva power boats,EUR,European
3500.0,Sport Boat,"Used boat,Unleaded",GRP,France,183,2010,2.15,5.0,Brig power boats,EUR,European
3500.0,Cabin Boat,"Used boat,Unleaded",GRP,France,289,1968,2.1,8.0,Dawncraft power boats,EUR,European
5170.0,Working Boat,new boat from stock,GRP,United,324,1991,2.1,4.5,Invader power boats,Â£,Not European
5500.0,Deck Boat,new boat from stock,GRP,Italy,126,1994,1.86,4.75,Hille power boats,EUR,European
5500.0,Sport Boat,new boat from stock,GRP,Germany,238,2018,1.5,3.2,Bienchen  power boats,EUR,European
5500.0,Center console boat,"Used boat,Unleaded",PVC,Spain,866,1980,2.9,7.26,Fjord power boats,EUR,European
5500.0,Sport Boat,Used boat,GRP,Italy,574,2000,1.65,4.15,Ecofiber power boats,EUR,European
5900.0,Sport Boat,Used boat,GRP,Switzerland,119,2019,2.06,5.2,Pollini power boats,CHF,Not European
5450.0,Sport Boat,new boat from stock,GRP,Italy,205,1986,1.65,4.28,Italmarine power boats,EUR,European
5399.0,Fishing Boat,new boat from stock,Aluminium,Germany,462,2020,1.85,4.45,Terhi power boats,EUR,European
39900.0,Deck Boat,new boat from stock,GRP,Denmark,201,1996,1.7,4.5,Fletcher power boats,DKK,European
5700.0,Sport Boat,"Used boat,Unleaded",GRP,Switzerland,336,1997,2.2,5.8,Sessa power boats,CHF,Not European
5250.0,Sport Boat,"Used boat,Unleaded",GRP,Germany,137,1971,2.2,5.7,Fjord power boats,EUR,European
